metric,official_baseline,reuters_removed_experiment,absolute_difference,percentage_difference
Accuracy,0.9824016563146998,0.9825741890959282,0.0001725327812284183,0.01756234632946808
Precision,0.9788359788359788,0.9797381546134664,0.0009021757774875239,0.09216822807845514
Recall,0.9893048128342246,0.9886756841774142,-0.0006291286568103072,-0.0635930047694743
F1 Score,0.9840425531914894,0.9841866290903397,0.00014407589885034877,0.014641226477765171
AUC,0.9979291882882064,0.9978986573980975,-3.0530890108959596e-05,-0.0030594245029880954
Training Time (seconds),0.24552583694458008,0.22655272483825684,-0.018973112106323242,-7.7275419737621505
