stage,step,rows_before,rows_after,rows_removed,reason,columns_before,columns_after
stage3_preprocess,combine_title_and_text,38638,38638,0,Concatenated title + text into a single `content` field; no rows removed,3,4
stage3_preprocess,clean_text_baseline,38638,38638,0,"Baseline NLP cleaning: lowercase, HTML/URL/punctuation removal, stop-word removal, lemmatization - see docs/preprocessing_plan.md",4,5
stage3_preprocess,clean_text_lstm,38638,38638,0,"LSTM NLP cleaning: same as baseline but WITHOUT stop-word removal or lemmatization, to preserve word order and negation - see docs/preprocessing_plan.md",5,6
stage3_preprocess,remove_rows_emptied_by_cleaning,38638,38638,0,Dropped rows that became empty after NLP cleaning (e.g. an article consisting only of stop words/punctuation/URLs),6,6
